Name;Surname;Country;Points;Year
Lewis;Hamilton;GBR;381;2015
Nico;Rosberg;GER;322;2015
Sebastian;Vettel;GER;278;2015
Kimi;RÃ¤ikkÃ¶nen;FIN;150;2015
Valtteri ;Bottas;FIN;136;2015
Felipe;Massa;BRA;121;2015
Daniil;Kvyat;RUS;95;2015
Daniel;Ricciardo;AUS;92;2015
Sergio;Perez;MEX;78;2015
Nico;Hulkenberg;GER;58;2015
Romain;Grosjean;FRA;51;2015
Max;Verstappen;NED;49;2015
Felipe;Nasr;BRA;27;2015
Pastor;Maldonado;VEN;27;2015
Carlos;Sainz;ESP;18;2015
Jenson;Button;GBR;16;2015
Fernando;Alonso;ESP;11;2015
Marcus;Ericsson;SWE;9;2015
Roberto;Merhi;ESP;0;2015
Alexander;Rossi;USA;0;2015
Will;Stevens;GBR;0;2015
Nico;Rosberg;GER;385;2016
Lewis;Hamilton;GBR;380;2016
Daniel;Ricciardo;AUS;256;2016
Sebastian;Vettel;GER;212;2016
Max;Verstappen;NED;204;2016
Kimi;RÃ¤ikkÃ¶nen;FIN;186;2016
Sergio;Perez;MEX;101;2016
Valtteri ;Bottas;FIN;85;2016
Nico;Hulkenberg;GER;72;2016
Fernando;Alonso;ESP;54;2016
Felipe;Massa;BRA;53;2016
Carlos;Sainz;ESP;46;2016
Romain;Grosjean;FRA;29;2016
Daniil;Kvyat;RUS;25;2016
Jenson;Button;GBR;21;2016
Kevin;Magnussen;DEN;7;2016
Felipe;Nasr;BRA;2;2016
Jolyon;Palmer;GBR;1;2016
Pascal;Wehrlein;GER;1;2016
Stoffel;Vandoorne;BEL;1;2016
Esteban;Gutierrez ;MEX;0;2016
Marcus;Ericsson;SWE;0;2016
Esteban;Ocon;FRA;0;2016
Rio;Haryanto;INA;0;2016
Lewis;Hamilton;GBR;363;2017
Sebastian;Vettel;GER;317;2017
Valtteri ;Bottas;FIN;305;2017
Kimi;RÃ¤ikkÃ¶nen;FIN;205;2017
Daniel;Ricciardo;AUS;200;2017
Max;Verstappen;NED;168;2017
Sergio;Perez;MEX;100;2017
Esteban;Ocon;FRA;87;2017
Carlos;Sainz;ESP;54;2017
Nico;Hulkenberg;GER;43;2017
Felipe;Massa;BRA;43;2017
Lance;Stroll;CAN;40;2017
Romain;Grosjean;FRA;28;2017
Kevin;Magnussen;DEN;19;2017
Fernando;Alonso;ESP;17;2017
Stoffel;Vandoorne;BEL;13;2017
Jolyon;Palmer;GBR;8;2017
Pascal;Wehrlein;GER;5;2017
Daniil;Kvyat;RUS;5;2017
Marcus;Ericsson;SWE;0;2017
Pierre;Gasly;FRA;0;2017
Antonio;Giovinazzi;ITA;0;2017
Brendon;Hartley;NZL;0;2017
Lewis;Hamilton;GBR;408;2018
Sebastian;Vettel;GER;320;2018
Kimi;RÃ¤ikkÃ¶nen;FIN;251;2018
Max;Verstappen;NED;249;2018
Valtteri;Bottas;FIN;247;2018
Daniel;Ricciardo;AUS;170;2018
Nico;Hulkenberg;GER;69;2018
Sergio;Perez;MEX;62;2018
Kevin;Magnussen;DEN;56;2018
Carlos;Sainz;ESP;53;2018
Fernando;Alonso;ESP;50;2018
Esteban;Ocon;FRA;49;2018
Charles;Leclerc;MON;39;2018
Romain;Grosjean;FRA;37;2018
Pierre;Gasly;FRA;29;2018
Stoffel;Vandoorne;BEL;12;2018
Marcus;Ericsson;SWE;9;2018
Lance;Stroll;CAN;6;2018
Brendon;Hartley;NZL;4;2018
Sergey;Sirotkin;RUS;1;2018
Lewis;Hamilton;GBR;413;2019
Valtteri;Bottas;FIN;326;2019
Max;Verstappen;NED;278;2019
Charles;Leclerc;MON;264;2019
Sebastian;Vettel;GER;240;2019
Carlos;Sainz;ESP;96;2019
Pierre;Gasly;FRA;95;2019
Alexander;Albon;THA;92;2019
Daniel;Ricciardo;AUS;54;2019
Sergio;Perez;MEX;52;2019
Lando;Norris;GBR;49;2019
Kimi;RÃ¤ikkÃ¶nen;FIN;43;2019
Daniil;Kvyat;RUS;37;2019
Nico;Hulkenberg;GER;37;2019
Lance;Stroll;CAN;21;2019
Kevin;Magnussen;DEN;20;2019
Antonio;Giovinazzi;ITA;14;2019
Romain;Grosjean;FRA;8;2019
Robert;Kubica;POL;1;2019
George;Russell;GBR;0;2019
Lewis;Hamilton;GBR;347;2020
Valtteri;Bottas;FIN;223;2020
Max;Verstappen;NED;214;2020
Sergio;Perez;MEX;125;2020
Daniel;Ricciardo;AUS;119;2020
Carlos;Sainz;ESP;105;2020
Alexander;Albon;THA;105;2020
Charles;Leclerc;MON;98;2020
Lando;Norris;GBR;97;2020
Pierre;Gasly;FRA;75;2020
Lance;Stroll;CAN;75;2020
Esteban;Ocon;FRA;62;2020
Sebastian;Vettel;GER;33;2020
Daniil;Kvyat;RUS;32;2020
Nico;Hulkenberg;GER;10;2020
Kimi;RÃ¤ikkÃ¶nen;FIN;4;2020
Antonio;Giovinazzi;ITA;4;2020
George;Russell;GBR;3;2020
Romain;Grosjean;FRA;2;2020
Kevin;Magnussen;DEN;1;2020
Nicholas;Latifi;CAN;0;2020
Jack;Aitken;GBR;0;2020
Pietro;Fittipaldi;BRA;0;2020
Max;Verstappen;NED;395.5;2021
Lewis;Hamilton;GBR;387.5;2021
Valtteri;Bottas;FIN;226;2021
Sergio;Perez;MEX;190;2021
Carlos;Sainz;ESP;164.5;2021
Lando;Norris;GBR;160;2021
Charles;Leclerc;MON;159;2021
Daniel;Ricciardo;AUS;115;2021
Pierre;Gasly;FRA;110;2021
Fernando;Alonso;ESP;81;2021
Esteban;Ocon;FRA;74;2021
Sebastian;Vettel;GER;43;2021
Lance;Stroll;CAN;34;2021
Yuki;Tsunoda;JPN;32;2021
George;Russell;GBR;16;2021
Kimi;RÃ¤ikkÃ¶nen;FIN;10;2021
Nicholas;Latifi;CAN;7;2021
Antonio;Giovinazzi;ITA;3;2021
Mick;Schumacher;GER;0;2021
Robert;Kubica;POL;0;2021
Nikita;Mazepin;RAF;0;2021
Max;Verstappen;NED;454;2022
Charles;Leclerc;MON;308;2022
Sergio;Perez;MEX;305;2022
George;Russell;GBR;275;2022
Carlos;Sainz;ESP;246;2022
Lewis;Hamilton;GBR;240;2022
Lando;Norris;GBR;122;2022
Esteban;Ocon;FRA;92;2022
Fernando;Alonso;ESP;81;2022
Valtteri;Bottas;FIN;49;2022
Daniel;Ricciardo;AUS;37;2022
Sebastian;Vettel;GER;37;2022
Kevin;Magnussen;DEN;25;2022
Pierre;Gasly;FRA;23;2022
Lance;Stroll;CAN;18;2022
Mick;Schumacher;GER;12;2022
Yuki;Tsunoda;JPN;12;2022
Guanyu;Zhou;CHN;6;2022
Alexander;Albon;THA;4;2022
Nicholas;Latifi;CAN;2;2022
Nyck;De Vries;NED;2;2022
Nico;Hulkenberg;GER;0;2022
Max;Verstappen;NED;575;2023
Sergio;Perez;MEX;285;2023
Lewis;Hamilton;GBR;234;2023
Fernando;Alonso;ESP;206;2023
Charles;Leclerc;MON;206;2023
Lando;Norris;GBR;205;2023
Carlos;Sainz;ESP;200;2023
George;Russell;GBR;175;2023
Oscar;Piastri;AUS;97;2023
Lance;Stroll;CAN;74;2023
Pierre;Gasly;FRA;62;2023
Esteban;Ocon;FRA;58;2023
Alexander;Albon;THA;27;2023
Yuki;Tsunoda;JPN;17;2023
Valtteri;Bottas;FIN;10;2023
Nico;Hulkenberg;GER;9;2023
Daniel;Ricciardo;AUS;6;2023
Guanyu;Zhou;CHN;6;2023
Kevin;Magnussen;DEN;3;2023
Liam;Lawson;NZL;2;2023
Logan;Sargeant;USA;1;2023
Nyck;De Vries;NED;0;2023
